x1: [16, 19, 30, 18, 12, 22, 21, 19, 28, 13, 27, 18, 24, 11, 21, 13, 16, 28, 11, 24, 20, 27, 14, 22, 18, 46, 47, 54, 43, 53, 53, 50, 49, 50, 45, 48, 42, 50, 43, 42, 48, 54, 52, 44, 50, 40, 46, 47, 52, 47, 80, 85, 77, 81, 65, 67, 70, 84, 82, 82, 81, 83, 74, 68, 69, 72, 78, 69, 78, 70, 67, 68, 77, 82, 78]
x2: [76, 77, 82, 81, 78, 88, 79, 84, 89, 75, 88, 78, 84, 78, 83, 80, 89, 79, 77, 87, 81, 79, 84, 83, 76, 54, 54, 58, 63, 54, 53, 55, 65, 61, 51, 58, 51, 61, 60, 61, 59, 57, 61, 53, 55, 52, 62, 56, 63, 63, 37, 31, 30, 25, 36, 39, 37, 26, 40, 37, 27, 31, 32, 28, 30, 32, 40, 38, 35, 34, 32, 33, 28, 29, 39]
x1: [17, 29, 22, 18, 15, 26, 10, 11, 30, 23, 18, 12, 16, 24, 14, 14, 15, 21, 19, 18, 26, 20, 17, 18, 16, 43, 42, 54, 52, 46, 48, 54, 41, 49, 55, 40, 43, 53, 46, 40, 40, 43, 48, 41, 50, 54, 55, 46, 52, 49, 71, 79, 81, 76, 74, 81, 77, 67, 81, 76, 71, 84, 77, 69, 77, 76, 84, 77, 65, 77, 70, 75, 65, 70, 82]
x2: [85, 76, 76, 78, 84, 90, 80, 77, 88, 83, 88, 81, 87, 77, 77, 77, 75, 75, 77, 80, 78, 76, 75, 87, 87, 59, 63, 60, 56, 50, 51, 62, 53, 62, 61, 58, 54, 50, 58, 56, 64, 58, 64, 57, 61, 54, 63, 50, 60, 57, 28, 35, 37, 36, 33, 35, 35, 25, 39, 31, 27, 36, 30, 31, 36, 38, 39, 38, 30, 39, 38, 36, 40, 25, 29]
x1: [19, 10, 15, 20, 29, 29, 21, 20, 10, 27, 11, 18, 13, 12, 19, 26, 23, 26, 18, 24, 14, 23, 17, 22, 29, 50, 50, 52, 44, 52, 45, 52, 45, 50, 54, 49, 43, 50, 54, 46, 48, 48, 42, 53, 45, 45, 55, 40, 48, 47, 67, 79, 82, 66, 67, 74, 78, 69, 83, 85, 73, 84, 65, 71, 80, 85, 74, 67, 73, 83, 85, 66, 79, 70, 66]
x2: [78, 85, 81, 87, 80, 75, 76, 75, 86, 77, 81, 85, 88, 75, 77, 88, 87, 85, 88, 84, 79, 85, 84, 81, 80, 51, 58, 58, 60, 57, 51, 57, 60, 61, 55, 57, 54, 61, 62, 57, 65, 52, 59, 57, 56, 54, 51, 57, 65, 52, 25, 31, 32, 26, 33, 35, 25, 37, 39, 29, 32, 39, 31, 26, 25, 28, 40, 26, 26, 25, 27, 28, 25, 33, 25]
x1: [10, 15, 28, 15, 16, 29, 10, 21, 11, 29, 18, 14, 15, 11, 14, 28, 30, 30, 19, 28, 23, 10, 15, 10, 19, 50, 43, 48, 46, 47, 42, 53, 43, 51, 55, 49, 42, 45, 53, 46, 55, 43, 54, 40, 49, 49, 53, 40, 49, 46, 80, 79, 78, 69, 68, 71, 83, 66, 85, 75, 82, 68, 66, 71, 82, 82, 73, 67, 79, 72, 78, 66, 82, 65, 69]
x2: [75, 81, 87, 89, 76, 77, 79, 76, 81, 85, 79, 81, 86, 88, 81, 85, 83, 83, 82, 78, 81, 76, 86, 88, 80, 61, 64, 65, 57, 51, 55, 58, 52, 61, 51, 55, 59, 55, 63, 62, 57, 61, 65, 61, 58, 56, 53, 61, 64, 57, 28, 38, 27, 37, 31, 35, 35, 30, 32, 33, 29, 39, 26, 32, 25, 33, 40, 40, 39, 25, 34, 32, 38, 29, 31]
x1: [12, 21, 16, 18, 14, 29, 10, 30, 18, 29, 24, 17, 26, 13, 21, 15, 24, 18, 30, 15, 19, 16, 25, 19, 11, 53, 43, 51, 43, 50, 45, 52, 50, 41, 42, 45, 50, 49, 46, 45, 51, 50, 48, 45, 41, 40, 43, 43, 43, 50, 73, 75, 65, 72, 81, 67, 66, 69, 70, 69, 81, 80, 85, 79, 82, 66, 79, 85, 84, 79, 75, 70, 69, 68, 75]
x2: [90, 83, 88, 78, 76, 81, 82, 90, 82, 88, 85, 81, 84, 86, 89, 80, 82, 89, 82, 82, 86, 77, 76, 75, 85, 52, 55, 54, 58, 55, 64, 52, 54, 54, 60, 65, 60, 62, 53, 65, 55, 57, 53, 56, 63, 65, 63, 58, 59, 53, 28, 34, 27, 39, 35, 37, 36, 28, 38, 35, 38, 32, 38, 29, 30, 36, 37, 30, 37, 29, 27, 38, 26, 37, 32]
